base_template_file_id	sub_doc_name	template_file_id	select_sql	key_id	max_count	sort	besshi_number
D24_1	【不受検】技能実習生名簿_1	D24_1_3	SELECT * FROM intern_print_select_D24 IPS INNER JOIN intern I ON IPS.company_id = I.company_id AND I.intern_id = @intern_id WHERE template_besshi_id = 'D24_1_3'	intern_id	0	2	2
D24_2	【不受検】技能実習生名簿_2	D24_1_3	SELECT * FROM intern_print_select_D24 IPS INNER JOIN intern I ON IPS.company_id = I.company_id AND I.intern_id = @intern_id WHERE template_besshi_id = 'D24_1_3'	intern_id	0	2	2
D24_3	【不受検】技能実習生名簿_3	D24_1_3	SELECT * FROM intern_print_select_D24 IPS INNER JOIN intern I ON IPS.company_id = I.company_id AND I.intern_id = @intern_id WHERE template_besshi_id = 'D24_1_3'	intern_id	0	2	2
K14_1	【不合格者】受験技能実習生名簿_1	K14_1_4	SELECT * FROM intern_print_select_D24 IPS INNER JOIN intern I ON IPS.company_id = I.company_id AND I.intern_id = @intern_id WHERE template_besshi_id = 'K14_1_4'	intern_id	0	2	3
K14_2	【不合格者】受験技能実習生名簿_2	K14_1_4	SELECT * FROM intern_print_select_D24 IPS INNER JOIN intern I ON IPS.company_id = I.company_id AND I.intern_id = @intern_id WHERE template_besshi_id = 'K14_1_4'	intern_id	0	2	3
K14_3	【不合格者】受験技能実習生名簿_3	K14_1_4	SELECT * FROM intern_print_select_D24 IPS INNER JOIN intern I ON IPS.company_id = I.company_id AND I.intern_id = @intern_id WHERE template_besshi_id = 'K14_1_4'	intern_id	0	2	3
D24_1	【受検】技能実習生名簿_1	D24_1_2	SELECT * FROM intern_print_select_D24 IPS INNER JOIN intern I ON IPS.company_id = I.company_id AND I.intern_id = @intern_id WHERE template_besshi_id = 'D24_1_2'	intern_id	0	1	1
D24_2	【受検】技能実習生名簿_2	D24_1_2	SELECT * FROM intern_print_select_D24 IPS INNER JOIN intern I ON IPS.company_id = I.company_id AND I.intern_id = @intern_id WHERE template_besshi_id = 'D24_1_2'	intern_id	0	1	1
D24_3	【受検】技能実習生名簿_3	D24_1_2	SELECT * FROM intern_print_select_D24 IPS INNER JOIN intern I ON IPS.company_id = I.company_id AND I.intern_id = @intern_id WHERE template_besshi_id = 'D24_1_2'	intern_id	0	1	1
K14_1	やむを得ない不受験者名簿_1	K14_1_3	SELECT * FROM intern_print_select_D24 IPS INNER JOIN intern I ON IPS.company_id = I.company_id AND I.intern_id = @intern_id WHERE template_besshi_id = 'K14_1_3'	intern_id	0	3	2
K14_2	やむを得ない不受験者名簿_2	K14_1_3	SELECT * FROM intern_print_select_D24 IPS INNER JOIN intern I ON IPS.company_id = I.company_id AND I.intern_id = @intern_id WHERE template_besshi_id = 'K14_1_3'	intern_id	0	3	2
K14_3	やむを得ない不受験者名簿_3	K14_1_3	SELECT * FROM intern_print_select_D24 IPS INNER JOIN intern I ON IPS.company_id = I.company_id AND I.intern_id = @intern_id WHERE template_besshi_id = 'K14_1_3'	intern_id	0	3	2
A1-2_1	労働-別紙	A1-2_1g	SELECT * FROM intern_master WHERE master_id = @master_id AND (( isWorkTime2 = 1 AND worktime_s2 IS NOT NULL) OR ( changeshift = 1 AND (shift_s1 IS NOT NULL OR shift_s2 IS NOT NULL OR shift_s3 IS NOT NULL OR shift_s4 IS NOT NULL OR shift_s5 IS NOT NULL )))	master_id	0	8	8
A1-2_2	労働-別紙	A1-2_2g	SELECT * FROM intern_master WHERE master_id = @master_id AND (( isWorkTime2 = 1 AND worktime_s2 IS NOT NULL) OR ( changeshift = 1 AND (shift_s1 IS NOT NULL OR shift_s2 IS NOT NULL OR shift_s3 IS NOT NULL OR shift_s4 IS NOT NULL OR shift_s5 IS NOT NULL )))	master_id	0	8	8
A1-2_3	労働-別紙	A1-2_3g	SELECT * FROM intern_master WHERE master_id = @master_id AND (( isWorkTime2 = 1 AND worktime_s2 IS NOT NULL) OR ( changeshift = 1 AND (shift_s1 IS NOT NULL OR shift_s2 IS NOT NULL OR shift_s3 IS NOT NULL OR shift_s4 IS NOT NULL OR shift_s5 IS NOT NULL )))	master_id	0	8	8
K14_1	受験技能実習生名簿_1	K14_1_2	SELECT * FROM intern_print_select_D24 IPS INNER JOIN intern I ON IPS.company_id = I.company_id AND I.intern_id = @intern_id WHERE template_besshi_id = 'K14_1_2'	intern_id	0	1	1
K14_2	受験技能実習生名簿_2	K14_1_2	SELECT * FROM intern_print_select_D24 IPS INNER JOIN intern I ON IPS.company_id = I.company_id AND I.intern_id = @intern_id WHERE template_besshi_id = 'K14_1_2'	intern_id	0	1	1
K14_3	受験技能実習生名簿_3	K14_1_2	SELECT * FROM intern_print_select_D24 IPS INNER JOIN intern I ON IPS.company_id = I.company_id AND I.intern_id = @intern_id WHERE template_besshi_id = 'K14_1_2'	intern_id	0	1	1
B5_1	委任状-別紙（実習生名簿）	B7_1	SELECT C.Z005, I.* FROM intern I INNER JOIN ( SELECT intern_group_id, company_id FROM intern WHERE intern_id = @intern_id ) I2 ON I.intern_group_id = I2.intern_group_id AND I.company_id = I2.company_id INNER JOIN company C ON I.company_id = C.company_id LEFT JOIN ( SELECT * FROM intern_print_select WHERE template_id = 'B3' ) ips ON I.intern_id = ips.intern_id WHERE enrolled_flg < 2 AND I.del_flg = 0 AND ( ips.out_flag IS NULL OR ips.out_flag = 1 ) AND I.status_id BETWEEN 10 AND 16 GROUP BY I.intern_id ORDER BY ips.sort	intern_id	0	1	1
B5_2	委任状-別紙（実習生名簿）	B7_2	SELECT C.Z005, I.* FROM intern I INNER JOIN ( SELECT intern_group_id, company_id FROM intern WHERE intern_id = @intern_id ) I2 ON I.intern_group_id = I2.intern_group_id AND I.company_id = I2.company_id INNER JOIN company C ON I.company_id = C.company_id LEFT JOIN ( SELECT * FROM intern_print_select WHERE template_id = 'B3' ) ips ON I.intern_id = ips.intern_id WHERE enrolled_flg < 2 AND I.del_flg = 0 AND ( ips.out_flag IS NULL OR ips.out_flag = 1 ) AND (I.status_id BETWEEN 17 AND 25) OR I.status_id = 27 GROUP BY I.intern_id ORDER BY ips.sort	intern_id	0	1	1
B5_3	委任状-別紙（実習生名簿）	B7_3	SELECT C.Z005, I.* FROM intern I INNER JOIN ( SELECT intern_group_id, company_id FROM intern WHERE intern_id = @intern_id ) I2 ON I.intern_group_id = I2.intern_group_id AND I.company_id = I2.company_id INNER JOIN company C ON I.company_id = C.company_id LEFT JOIN ( SELECT * FROM intern_print_select WHERE template_id = 'B3' ) ips ON I.intern_id = ips.intern_id WHERE enrolled_flg < 2 AND I.del_flg = 0 AND ( ips.out_flag IS NULL OR ips.out_flag = 1 ) AND (I.status_id BETWEEN 30 AND 39) OR I.status_id = 26 GROUP BY I.intern_id ORDER BY ips.sort	intern_id	0	1	1
A7_1	実習実施者　届出書（別紙）	A7_1a	SELECT * FROM intern I INNER JOIN (SELECT * FROM intern WHERE intern_id = @intern_id ) I2 ON I.intern_group_id = I2.intern_group_id WHERE I.del_flg = 0 AND I.enrolled_flg < 2 AND (CASE WHEN I2.status_id BETWEEN 10 AND 16 THEN ((I.status_id BETWEEN 10 AND 16)) WHEN I2.status_id BETWEEN 17 AND 25 OR I2.status_id = 27 THEN ((I.status_id BETWEEN 17 AND 25) OR I.status_id = 27) WHEN I2.status_id BETWEEN 30 AND 39 OR I2.status_id = 26 THEN ((I.status_id BETWEEN 30 AND 39) OR I.status_id = 26) END) ORDER BY I.entry_date, I.Z228	intern_id	1	1	1
F1_1	実習実施者（勤務先）-別紙（事業所複数未選択）	F1_1e	SELECT * FROM (( SELECT CO.company_office_id, CO.company_office_name, CO.company_office_phonetic, CO.company_office_address, CO.company_office_post, CO.company_office_tel FROM company_office CO INNER JOIN intern I ON I.company_office_id = CO.company_office_id WHERE I.intern_id = @intern_id ) UNION ( SELECT CO.company_office_id, CO.company_office_name, CO.company_office_phonetic, CO.company_office_address, CO.company_office_post, CO.company_office_tel FROM company_office CO INNER JOIN intern_company_office_select ICOS ON CO.company_office_id = ICOS.company_office_id WHERE ICOS.intern_id = @intern_id )) AS TBL GROUP BY TBL.company_office_id	intern_id	1	1	1
