flow_work_id	flow_work_name	flow_work_flow_id	update_date	edit_user_id	sort	enabled_flg	del_flg
1	実施者へ制度説明	1	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	1	1	0
2	実施者の技能実習受入審査	1	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	2	1	0
3	実施者と技能実習受入契約書締結	1	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	3	1	0
4	求人申込	2	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	1	1	0
5	求人票回収	2	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	2	1	0
6	募集	3	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	1	1	0
7	履歴書回収	3	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	2	1	0
8	雇用契約書等準備	4	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	1	1	0
9	雇用契約書等確認	4	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	2	1	0
10	雇用契約書等回収	4	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	3	1	0
11	面接準備	5	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	1	1	0
12	面接実施	5	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	2	1	0
13	採用者書類回収	5	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	3	1	0
14	入国手続準備	6	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	1	1	0
15	入国手続書類回収	6	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	2	1	0
16	入国手続書類作成	6	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	3	1	0
17	技能実習計画認定申請	6	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	4	1	0
18	在留資格認定証明書交付申請書	6	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	5	1	0
19	査証発給申請	6	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	6	1	0
20	出入国準備	7	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	1	1	0
21	出入国書類回収	7	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	2	1	0
22	実習生総合保険加入	7	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	3	1	0
23	実習生総合保険加入書類回収	7	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	4	1	0
24	実習生総合保険加入確認	7	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	5	1	0
25	出国確認	7	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	6	1	0
26	入国確認	7	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	7	1	0
27	入校書類回収	8	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	1	1	0
28	配属準備	8	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	2	1	0
29	講習書類回収	8	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	3	1	0
30	第１回：訪問指導準備（月１回）	8	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	4	1	0
31	第１回：訪問指導実施（月１回）	8	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	5	1	0
32	第１回：訪問指導回収（月１回）	8	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	6	1	0
33	配属	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	1	1	0
34	配属書類回収	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	2	1	0
35	管理簿準備	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	3	1	0
36	第２回：訪問指導準備（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	4	1	0
37	第２回：訪問指導実施（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	5	1	0
38	第２回：訪問指導回収（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	6	1	0
39	第３回：訪問指導準備（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	7	1	0
40	第３回：訪問指導実施（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	8	1	0
41	第３回：訪問指導回収（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	9	1	0
42	第４回：訪問指導準備（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	10	1	0
43	第４回：訪問指導実施（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	11	1	0
44	第４回：訪問指導回収（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	12	1	0
45	第５回：訪問指導準備（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	13	1	0
46	第５回：訪問指導実施（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	14	1	0
47	第５回：訪問指導回収（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	15	1	0
48	第６回：訪問指導準備（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	16	1	0
49	第６回：訪問指導実施（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	17	1	0
50	第６回：訪問指導回収（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	18	1	0
51	第７回：訪問指導準備（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	19	1	0
52	第７回：訪問指導実施（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	20	1	0
53	第７回：訪問指導回収（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	21	1	0
54	第８回：訪問指導準備（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	22	1	0
55	第８回：訪問指導実施（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	23	1	0
56	第８回：訪問指導回収（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	24	1	0
57	第９回：訪問指導準備（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	25	1	0
58	第９回：訪問指導実施（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	26	1	0
59	第９回：訪問指導回収（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	27	1	0
60	第１０回：訪問指導準備（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	28	1	0
61	第１０回：訪問指導実施（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	29	1	0
62	第１０回：訪問指導回収（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	30	1	0
63	第１１回：訪問指導準備（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	31	1	0
64	第１１回：訪問指導実施（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	32	1	0
65	第１１回：訪問指導回収（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	33	1	0
66	第１２回：訪問指導準備（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	34	1	0
67	第１２回：訪問指導実施（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	35	1	0
68	第１２回：訪問指導回収（月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	36	1	0
69	第１回：監査準備（監査 ３ヶ月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	37	1	0
70	第１回：監査実施（監査 ３ヶ月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	38	1	0
71	第１回：監査書類確認（監査 ３ヶ月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	39	1	0
72	第１回：監査書類提出（監査 ３ヶ月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	40	1	0
73	第２回：監査準備（監査 ３ヶ月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	41	1	0
74	第２回：監査実施（監査 ３ヶ月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	42	1	0
75	第２回：監査書類確認（監査 ３ヶ月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	43	1	0
76	第２回：監査書類提出（監査 ３ヶ月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	44	1	0
77	第３回：監査準備（監査 ３ヶ月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	45	1	0
78	第３回：監査実施（監査 ３ヶ月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	46	1	0
79	第３回：監査書類確認（監査 ３ヶ月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	47	1	0
80	第３回：監査書類提出（監査 ３ヶ月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	48	1	0
81	第４回：監査準備（監査 ３ヶ月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	49	1	0
82	第４回：監査実施（監査 ３ヶ月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	50	1	0
83	第４回：監査書類確認（監査 ３ヶ月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	51	1	0
84	第４回：監査書類提出（監査 ３ヶ月１回）	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	52	1	0
85	受検書類回収	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	53	1	0
86	受検申請	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	54	1	0
87	受検	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	55	1	0
88	受検合否確認	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	56	1	0
89	再受検申請	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	57	1	0
90	再受検	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	58	1	0
91	再受検合否確認	9	Mon Nov 01 2021 00:00:00 GMT+0900 (日本標準時)	1	59	1	0
