flow_work_flow_id	flow_work_flow_title	flow_application_type_id	update_date	edit_user_id	sort	enabled_flg	del_flg
1	受入前事前説明	1	Sun Nov 01 2020 00:00:00 GMT+0900 (日本標準時)	1	1	1	0
2	求人	1	Sun Nov 01 2020 00:00:00 GMT+0900 (日本標準時)	1	2	1	0
3	求職	1	Sun Nov 01 2020 00:00:00 GMT+0900 (日本標準時)	1	3	1	0
4	雇用契約関係書類の準備	1	Sun Nov 01 2020 00:00:00 GMT+0900 (日本標準時)	1	4	1	0
5	面接	1	Sun Nov 01 2020 00:00:00 GMT+0900 (日本標準時)	1	5	1	0
6	入国手続	1	Sun Nov 01 2020 00:00:00 GMT+0900 (日本標準時)	1	6	1	0
7	出入国	1	Sun Nov 01 2020 00:00:00 GMT+0900 (日本標準時)	1	7	1	0
8	入国後講習	2	Sun Nov 01 2020 00:00:00 GMT+0900 (日本標準時)	1	1	1	0
9	１号実習管理	2	Sun Nov 01 2020 00:00:00 GMT+0900 (日本標準時)	1	2	1	0
10	２号（１年目）実習管理	2	Sun Nov 01 2020 00:00:00 GMT+0900 (日本標準時)	1	3	1	0
11	２号（２年目）実習管理	2	Sun Nov 01 2020 00:00:00 GMT+0900 (日本標準時)	1	4	1	0
12	出入国管理	2	Sun Nov 01 2020 00:00:00 GMT+0900 (日本標準時)	1	5	1	0
13	３号（１年目）実習管理	2	Sun Nov 01 2020 00:00:00 GMT+0900 (日本標準時)	1	6	1	0
14	３号（２年目）実習管理	2	Sun Nov 01 2020 00:00:00 GMT+0900 (日本標準時)	1	7	1	0
15	軽微変更発生	3	Sun Nov 01 2020 00:00:00 GMT+0900 (日本標準時)	1	1	1	0
16	困難事由発生	3	Sun Nov 01 2020 00:00:00 GMT+0900 (日本標準時)	1	2	1	0
17	変更認定発生	3	Sun Nov 01 2020 00:00:00 GMT+0900 (日本標準時)	1	3	1	0
