template_id	template_sub_id	template_file_id	form_field	auto_increase	input_field	kanri_flg	input_field_name	input_type	refer_input_type	refer_table_name	refer_table_field	option_string	sort	m_refer_table_name	m_refer_table_field	m_refer_table_id	m_refer_table_column	tooltip_text	besshi_number
A1	1	A1_1	S001	0	S001A	-1	申請日付	4	0				1					申請日付を「yyyy/mm/dd」の書式で入力します。カレンダーの使用が可能です。	
A1	1	A1_1	Z005	0	Z005A	-1	実施者名	1	0	company	Z005		2						
A1	1	A1_1	Z007	0	Z007A	-1	実施者<br>代表者名	40	40	company_person	name		3						
A1	1	A1_1	Z009	0	Z009	-1	実習実施代表者役職	66	40	company_person	class		4						
A1	1	A1_1	Z106	0	Z106A	0	監理団体名	1	0	kanri_dantai	Z106		5						
A1	1	A1_1	Z106	0	Z106A	1	監理事業所名	54	54	kanri_dantai_office	kanri_office_name		5						
A1	1	A1_1	Z111	0	Z111	-1	監理団体<br>代表者氏名	71	71	kanri_dantai_person	Z127		6						
A1	1	A1_1	Z129	0	Z129	-1	監理団体<br>代表者役職	73	71	kanri_dantai_person	Z129		7						
A1	2	A1_2	S001	0	S001A	-1	申請日付	4	0				1					申請日付を「yyyy/mm/dd」の書式で入力します。カレンダーの使用が可能です。	
A1	2	A1_2	Z005	0	Z005A	-1	実施者名	1	0	company	Z005		2						
A1	2	A1_2	Z007	0	Z007A	-1	実施者<br>代表者名	40	40	company_person	name		3						
A1	2	A1_2	Z009	0	Z009	-1	実習実施代表者役職	66	40	company_person	class		4						
A1	2	A1_2	Z106	0	Z106A	0	監理団体名	1	0	kanri_dantai	Z106		5						
A1	2	A1_2	Z106	0	Z106A	1	監理事業所名	54	54	kanri_dantai_office	kanri_office_name		5						
A1	2	A1_2	Z111	0	Z111	-1	監理団体<br>代表者氏名	71	71	kanri_dantai_person	Z127		6						
A1	2	A1_2	Z129	0	Z129	-1	監理団体<br>代表者役職	73	71	kanri_dantai_person	Z129		7						
A1	3	A1_3	S001	0	S001A	-1	申請日付	4	0				1					申請日付を「yyyy/mm/dd」の書式で入力します。カレンダーの使用が可能です。	
A1	3	A1_3	Z005	0	Z005A	-1	実施者名	1	0	company	Z005		2						
A1	3	A1_3	Z007	0	Z007A	-1	実施者<br>代表者名	40	40	company_person	name		3						
A1	3	A1_3	Z009	0	Z009	-1	実習実施代表者役職	66	40	company_person	class		4						
A1	3	A1_3	Z106	0	Z106A	0	監理団体名	1	0	kanri_dantai	Z106		5						
A1	3	A1_3	Z106	0	Z106A	1	監理事業所名	54	54	kanri_dantai_office	kanri_office_name		5						
A1	3	A1_3	Z111	0	Z111	-1	監理団体<br>代表者氏名	71	71	kanri_dantai_person	Z127		6						
A1	3	A1_3	Z129	0	Z129	-1	監理団体<br>代表者役職	73	71	kanri_dantai_person	Z129		7						
A1-2	1	A1-2_1	A0003	0	A0003	-1	移行対象<br>職種・作業<br>以外の場合	1	0	intern	other_work_detail		36						
A1-2	1	A1-2_1	A0004	0	A0004	-1	入国前講習実施	33	0	intern	before_lecture_flg	有,無	37						
A1-2	1	A1-2_1	A0028_0	0	A0028	-1	技能実習の期間<br>延べ期間 / 年	1	0	intern	tem_intern_span_year		40						0
A1-2	1	A1-2_1	A0028_1	0	A0029	-1	技能実習の期間<br>延べ期間 / 月	1	0	intern	tem_intern_span_month		41						
A1-2	1	A1-2_1	A0028_2	0	A0030	-1	技能実習の期間<br>延べ期間 / 日	1	0	intern	tem_intern_span_day		42						
A1-2	1	A1-2_1	A0031	0	A0031	-1	技能実習の<br>開始日	4	0	intern	lecture_s		43					技能実習の開始日を「yyyy/mm/dd」の書式で入力します。カレンダーの使用が可能です。	
A1-2	1	A1-2_1	A0034	0	A0034	-1	技能実習の<br>終了日	4	0	intern	work_end_date		44					技能実習の終了日を「yyyy/mm/dd」の書式で入力します。カレンダーの使用が可能です。	
A1-2	1	A1-2_1	A0037	0	A0037	-1	技能実習の<br>合計時間<br>（時間）	1	0	intern	tem_yeartime_hour_decimal		45						
A1-2	1	A1-2_1	A0038	0	A0038	-1	入国後講習にかける時間<br>（時間）	1	0	intern	tem_lecture_total_time		46						
A1-2	1	A1-2_1	A0039	0	A0039	-1	実習にかける時間<br>（時間）	1	0	intern	tem_traning_total_time		47						
A1-2	1	A1-2_1	A0040	0	A0040	-1	前段階の<br>技能実習計画の<br>認定番号	1	0				39					1号時の作成された技能実習計画の認定番号を入力してください。	
A1-2	1	A1-2_1	A0041	0	A0041	-1	雇用契約期間の定め	3	0	intern	contract_flg	有,無	81						
A1-2	1	A1-2_1	A0043	0	A0043	-1	【備考欄】<br>実施者<br>会社名	1	0	company	Z005		92						
A1-2	1	A1-2_1	A0044	0	A0044	-1	【備考欄】<br>実施者<br>担当者の役職	93	92	company_person	class		94						
A1-2	1	A1-2_1	A0045	0	A0045	-1	【備考欄】<br>実施者<br>連絡担当者	92	92	company_person	name		93						
A1-2	1	A1-2_1	A0046	0	A0046	-1	【備考欄】<br>実施者<br>連絡先	98	92	company_person	tel		95						
A1-2	1	A1-2_1	A0047	0	A0047	-1	【備考欄】<br>組合<br>組合名	1	0	kanri_dantai	Z106		96						
A1-2	1	A1-2_1	A0048	0	A0048	-1	【備考欄】<br>組合<br>担当者の役職	91	90	kanri_dantai_person	Z129		98						
A1-2	1	A1-2_1	A0049	0	A0049	-1	【備考欄】<br>組合<br>説明担当者	90	90	kanri_dantai_person	Z127		97						
A1-2	1	A1-2_1	A0050	0	A0050	-1	【備考欄】<br>組合<br>連絡先	37	90	kanri_dantai_person	staff_tel		99						
A1-2	1	A1-2_1	A0051	0	A0051	-1	提出の有無	33	0			有,無	100					過去1年以内に技能実習実施困難時届出書の提出の有無を選択してください。	
